Issue	IssueText
0	เข้าร่วม Presales_TCSP
0	ยินดีต้อนรับครับบบ
0	ครับ
0	คะ
0	พี่ดา น้องนิคครับ ขอโทษด้วยครับรบกวนวันอาทิตย์ครับ
0	เนทบ้าน ais ครับบบ
0	โครมเคลียร์แคชแล้วฮะ
0	ได้ๆอยู่คะ
0	ลูกค้า one-time ของ TCSPครับ
0	บนไหนคะคุณดา
0	http://172.26.64.104:8088/PSML2
0	ตรวจสอบซักครู่ค่ะ
0	ตอนนี้ปรับให้เรียบร้อยแล้วค่ะ
0	ขอตรวจสอบสักครู่นะคะ
0	คุณดาคะ
0	อันนี้เป็นงานไส้ฟันใช่มั้ยคะ
0	มาจาก Multi-items หรอคะ
0	เพราะไม่เห้นมีจำนวนชิ้นต่อชุดขึ้นมาให้ระบุเลยอ่ะค่ะ
0	พี่ดา น้องนิค ครับ
0	ไส้ฟันคะ
0	มาจากml
0	หมายถึงใส่referแล้วขอราคา เหรอคะ
0	อันนี้ Prod
0	uat คะ
0	คุณดาคะ ลองอีกรอบค่ะ น้องแก้บน uat ให้แล้วค่ะ
0	ใช่ครับ
0	อันนี้เป็นงาน Multi หรืองาน item คะคุณดา
0	multi ka
0	ที่ convert มาเป็น item หรอคะ
0	ยังไม่ Convert คะ
0	อ่อ รับทราบค่ะ จะตรวจสอบให้ค่ะ
0	รับทราบค่ะ
0	ขอตรวจสอบแปบนะคะ
0	ตอนนี้โปรแกรมทำอย่างนั้นค่ะคุณดา
0	ที่คุณดาเจอคือเปลี่ยนตัวเดียว 00 เหรอคะ
0	เพราะถ้า CC  มันเห็นอยู่แล้ว ก็เลยได้ประโยชน์น้อยกว่า ถ้าเห็นที่ตัวเดี่ยวๆด้วยอะคะ
0	คุณเฟิร์นดาส่งเมลล?ยืนยันนำขึ้น Production ให้แล้วนะคะ
0	คะ 2,3 คะ ขึ้นได้คืนนี้มั้ยคะ หรือเที่ยงดี
0	คืนนี้ดีกว่าค่ะ
0	ok ka
0	ข้อมูลที่ปรากฏจึงซ้ำๆกันค่ะ
0	สักครู่นะคะ
0	เดี่ยวเช็คสักครู่นะ
0	เป็นงาน กล่อง Offset อ่ะครับพี่ดา
0	สร้างไว้เมื่อปี 2018
0	ใช่ๆๆ ต้องตั้งการ์ดฝั่
0	ต้องตั้งการ์ดฝั่งโรงงานคนขายก่อน ถูกละค่า
0	อ้อออ อะเชค้าบ
0	Copy มาจาก Product
0	ป่าวค่ะ ตัวที่คุณดาส่งมาคือ product เลยค่ะ
0	ใช่เลข ID Force มา 555
0	เป็นงานจ้างอะคะ น่าจะเป็น Out
0	ลองดูค่ะ มิ้วค์ปรับ routing ให้แล้ว แต่ตรง machine ไม่ได้ระบุให้นะคะ
0	ว้าวว คือให้คุณอ้นลองได้เลยเหรอคะ
0	ใช่ค่ะตอนนี้กดฟอร์มได้
0	อ้นลองดูนะ
0	โอเคค้าบบ
0	ได้ค่ะ
0	ใช่ค่ะ
0	userตามมา งือๆ
0	ได้ค่า
0	พรุ่งนี้เฟินนำขึ้นให้ค่ะ
0	ขอบคุณคร๊าบบบ
0	ขอบคุณมากค่ะ
0	ถามอยู่นะคะ
0	สักครู่ค่ะ
0	ขึ้นแล้วนะคะ
0	เดี๋ยวเฟินส่ง E-mail ให้อีกรอบค่ะ
0	อ้อ
0	โอเคครับ
0	ถ้างั้นเดี๋ยวเช็คให้นะคะ
0	TCSP-998-6202-002ครับ
0	เช็คสักครู่นะคะ
0	ขอบคุณครับบ
0	UAT Deploy อยู่ปะคะ
