Issue	IssueText
0	เข้าร่วม
0	ยินดีต้อนรับครับบบ
0	ครับ
0	คะ
0	พี่ดา
0	เนทบ้าน
0	โครมเคลียร์แคชแล้วฮะ
0	ได้ๆอยู่คะ
0	ลูกค้า
0	บนไหนคะคุณดา
0	http://172.26.64.104:8088/PSML2
0	ตรวจสอบซักครู่ค่ะ
0	ตอนนี้ปรับให้เรียบร้อยแล้วค่ะ
0	ขอตรวจสอบสักครู่นะคะ
0	คุณดาคะ
0	อันนี้เป็นงานไส้ฟันใช่มั้ยคะ
0	มาจาก
0	เพราะไม่เห้นมีจำนวนชิ้นต่อชุดขึ้นมาให้ระบุเลยอ่ะค่ะ
0	พี่ดา
0	ไส้ฟันคะ
0	มาจากml
0	หมายถึงใส่referแล้วขอราคา
0	อันนี้
0	uat
0	คุณดาคะ
0	ใช่ครับ
0	อันนี้เป็นงาน
0	multi
0	ที่
0	ยังไม่
0	อ่อ
0	รับทราบค่ะ
0	ขอตรวจสอบแปบนะคะ
0	ตอนนี้โปรแกรมทำอย่างนั้นค่ะคุณดา
0	ที่คุณดาเจอคือเปลี่ยนตัวเดียว
0	เพราะถ้า
0	คุณเฟิร์นดาส่งเมลล?ยืนยันนำขึ้น
0	คะ
0	คืนนี้ดีกว่าค่ะ
0	ok
0	ข้อมูลที่ปรากฏจึงซ้ำๆกันค่ะ
0	สักครู่นะคะ
0	เดี่ยวเช็คสักครู่นะ
0	เป็นงาน
0	สร้างไว้เมื่อปี
0	ใช่ๆๆ
0	ต้องตั้งการ์ดฝั่งโรงงานคนขายก่อน
0	อ้อออ
0	Copy
0	ป่าวค่ะ
0	ใช่เลข
0	เป็นงานจ้างอะคะ
0	ลองดูค่ะ
0	ว้าวว
0	ใช่ค่ะตอนนี้กดฟอร์มได้
0	อ้นลองดูนะ
0	โอเคค้าบบ
0	ได้ค่ะ
0	ใช่ค่ะ
0	userตามมา
0	ได้ค่า
0	พรุ่งนี้เฟินนำขึ้นให้ค่ะ
0	ขอบคุณคร๊าบบบ
0	ขอบคุณมากค่ะ
0	ถามอยู่นะคะ
0	สักครู่ค่ะ
0	ขึ้นแล้วนะคะ
0	เดี๋ยวเฟินส่ง
0	อ้อ
0	โอเคครับ
0	ถ้างั้นเดี๋ยวเช็คให้นะคะ
0	TCSP-998-6202-002ครับ
0	เช็คสักครู่นะคะ
0	ขอบคุณครับบ
0	UAT
0	SUPPASIV
0	http://172.26.64.104:8088/PSM/resources/j_spring_security_logout
0	คุณดาจะทดสอบใช่มั้ยคะ
0	ใช้
0	ขออภัยด้วยค่ะ
0	มะเป็นไรค่า
0	ตัวเลขเลขคะ
0	อันนี้ใช่มั้ยคะ
0	ตัวแรกอะคะ
0	ทดสอบเลยคะ
0	โอเค
0	คุณมิ้ว
0	งั้นเดี๋ยวมิ้วดูให้นะคะ
0	ขอบคุณมากครับพี่ดา
0	ได้ครับพี่
0	ฟิวใส่สเปคให้ครบก่อนน้าา
0	เคสเดียวกะโอ๊ค
0	เฟินดูให้นะคะ
0	เคคะ
0	เรียบร้อยแล้วเดี๋ยวเฟินแจ้งนะคะ
0	อ๋อ
0	อะเครคะ
0	เดี๋ยวเชคให้ค่ะ
0	ขึ้นคะ
0	เป็นไงบ้าง
0	โดนถามมาอีกแล้น
0	ทักกันเยอะเลยย
0	อ่อ
0	ได้ค่ะ
0	ซักครู่นะคะ
0	ได้ค่า
0	ขออภัยที่ล่าช้าค่ะ
0	เกิดจากไรเหรอคะ
0	ถ้าทราบสาเหตุแล้วจะแจ้งให้ทราบนะคะ
0	ขออภัยในความไม่สะดวกคะ
0	แจ้งกันมาอย่างต่อเนื่องงงง
0	กำลังดูให้ค่ะ
0	อ้อ
0	Logic
0	เข้าร่วม
0	เข้าร่วม
0	เข้าร่วม
0	เข้าร่วม
0	เข้าร่วม
0	เข้าร่วม
0	เข้าร่วม
0	เข้าร่วม
0	เข้าร่วม
0	request
0	แปปนะ
0	คุณดา
0	เมื่อครู่นี้ค่ะ
0	me
0	หืม
0	ตอนนี้เข้าได้รึยังอะคะ
0	ได้ล้าว
0	พี่ก็เข้าได้นะ
0	ลองอีกครั้งครับ
0	พี่ก็เข้าได้
0	เมื่อกี้
0	แต่ตอนพี่เฟิร์นบอก
0	อาจจะจังหวะหน่วงเหรอเปล่า
0	ขอบคุณมากครับพี่นิก
0	ได้ละครับ
0	เป็น
0	กำลังทยอยเช็คให้อยู่ค่ะ
